"Date","Game","Comp","PassAtt","CompPCT","PassYds","PassYPA","PassYPR","PassTD","OINT","OSCK","OSCKYDS","QBR","P1st","RushAtt","RushYds","RushYPA","RushTD","R1st","PA","Tckl","Solo","AstTckl","DSck","DSCKYds","INT","INTTD","FF","FumRec","FumTD","PassDef","Sfty","KPts","FGM","FGA","FGPct","FGLng","XPM","XPA","XPPct","KR","KRYds","KRAvg","KRTD","KRLng","PR","PRYds","PRAvg","PRTD","PRLng","Punts","PuntYds","PuntAvg","X1st","X3rdCon","X3rdAtt","X3rdPct","X4thCon","X4thAtt","X4thPct","Pen","PenYds","TotYds","PlusMinus","FUML.turnovers","PF"
2019-10-20,"ATL",23.2,37.8,60.73,242.2,6.23,10.62,1.1,1,1.3,9.7,79.64,12.6,24.4,92.6,3.72,1,5.2,19.8,64.6,39.9,24.7,2.2,14.4,1.1,0.1,0.8,0.5,0,5,0,6.4,1.5,2,77.0875,34,1.9,1.9,100,1,21.5,21.1666666666667,0,13.8,2.4,15.4,6.98888888888889,0,10.8,4.4,207.6,45.92,19.7,4.5,12.9,33.4,0.3,1.1,13.33,9.2,72,334.8,-0.1,0.7,25.5
2019-10-27,"CIN",23.1818181818182,37.8181818181818,60.7090909090909,246.636363636364,6.36363636363636,10.8090909090909,1.18181818181818,0.909090909090909,1.18181818181818,8.81818181818182,81.6727272727273,12.6363636363636,25.4545454545455,92.3636363636364,3.60909090909091,1,5.54545454545455,18.9090909090909,63.4545454545455,39.8181818181818,23.6363636363636,2.45454545454545,16.5454545454545,1.09090909090909,0.0909090909090909,1.09090909090909,0.636363636363636,0.0909090909090909,4.72727272727273,0,7,1.63636363636364,2.18181818181818,76.8555555555556,35.9090909090909,2.09090909090909,2.09090909090909,100,0.909090909090909,19.5454545454545,21.1666666666667,0,12.5454545454545,2.54545454545455,17.2727272727273,7.19,0,13,4.27272727272727,197.363636363636,44.6272727272727,20,4.81818181818182,13.1818181818182,34.9090909090909,0.363636363636364,1.09090909090909,21.2090909090909,8.81818181818182,67.6363636363636,339,0.181818181818182,0.636363636363636,27.1428571428571
2019-11-10,"PIT",22.6666666666667,37.25,60.2166666666667,257.083333333333,6.83333333333333,11.7333333333333,1.25,0.833333333333333,1.08333333333333,8.08333333333333,84.8083333333333,12.6666666666667,25.5,92.8333333333333,3.625,1,5.58333333333333,18.1666666666667,63.5,40.8333333333333,22.6666666666667,2.66666666666667,17.8333333333333,1,0.0833333333333333,1,0.583333333333333,0.0833333333333333,4.83333333333333,0,6.91666666666667,1.58333333333333,2.08333333333333,79.17,34.8333333333333,2.16666666666667,2.16666666666667,100,0.916666666666667,19.0833333333333,20.1428571428571,0,12.6666666666667,2.33333333333333,15.8333333333333,7.19,0,11.9166666666667,4.33333333333333,199.416666666667,44.6083333333333,19.9166666666667,5,13.1666666666667,36.4833333333333,0.333333333333333,1,19.4416666666667,8.83333333333333,66.9166666666667,349.916666666667,0.166666666666667,0.583333333333333,26.75
2019-11-17,"CHI",22.6153846153846,37.6153846153846,59.6153846153846,254.076923076923,6.70769230769231,11.6769230769231,1.15384615384615,1,1.30769230769231,9.38461538461539,81.3692307692308,12.4615384615385,25.3076923076923,92.4615384615385,3.63846153846154,0.923076923076923,5.38461538461539,18.0769230769231,63.5384615384615,41.1538461538462,22.3846153846154,2.69230769230769,17.3076923076923,0.923076923076923,0.0769230769230769,1.15384615384615,0.692307692307692,0.153846153846154,4.61538461538461,0.0769230769230769,6.69230769230769,1.53846153846154,2.07692307692308,76.5181818181818,34.4615384615385,2.07692307692308,2.07692307692308,100,1.15384615384615,24.8461538461538,20.5625,0,14,2.38461538461538,16.2307692307692,7.17272727272727,0,12.3846153846154,4.61538461538461,213.230769230769,44.8230769230769,19.6153846153846,4.69230769230769,13.2307692307692,34.2230769230769,0.307692307692308,1.07692307692308,17.9461538461538,8.92307692307692,69.0769230769231,346.538461538462,0,0.615384615384615,25.1111111111111
2019-11-25,"BAL",21.7857142857143,36.2142857142857,59.7214285714286,248.285714285714,6.91428571428571,11.9642857142857,1.07142857142857,1,1.21428571428571,8.71428571428571,80.55,12,25.9285714285714,93.7142857142857,3.60714285714286,1,5.5,17.2857142857143,63.1428571428571,41,22.1428571428571,2.71428571428571,16.5,0.928571428571429,0.0714285714285714,1.07142857142857,0.642857142857143,0.142857142857143,4.92857142857143,0.0714285714285714,6.57142857142857,1.5,2,78.475,34.7142857142857,2.07142857142857,2.07142857142857,100,1.14285714285714,25,21.2777777777778,0,14.9285714285714,2.35714285714286,15.0714285714286,6.575,0,11.5,4.71428571428571,221.5,45.5357142857143,19.1428571428571,4.57142857142857,13,33.9214285714286,0.285714285714286,1,16.6642857142857,8.71428571428571,66.5714285714286,342,-0.0714285714285714,0.642857142857143,24.3
2019-12-01,"ARI",22.0666666666667,36.2666666666667,60.4266666666667,245,6.81333333333333,11.7133333333333,1,1.06666666666667,1.26666666666667,9,79.3133333333333,11.7333333333333,24.8,88.9333333333333,3.52666666666667,0.933333333333333,5.26666666666667,19.1333333333333,64.1333333333333,41.2,22.9333333333333,2.73333333333333,16.2666666666667,0.866666666666667,0.0666666666666667,1,0.6,0.133333333333333,4.8,0.0666666666666667,6.53333333333333,1.53333333333333,2,80.1307692307692,35.4666666666667,1.93333333333333,1.93333333333333,100,1.2,26.2666666666667,21.35,0,15.4666666666667,2.26666666666667,14.3333333333333,6.37692307692308,0,11,4.66666666666667,220.066666666667,45.8333333333333,18.8,4.4,12.7333333333333,33.14,0.333333333333333,1,22.22,8.66666666666667,65.8666666666667,333.933333333333,-0.2,0.6,22.6363636363636
2019-12-08,"SEA",22.75,36.8125,61.23125,255.75,6.96875,11.7875,1.0625,1,1.25,9.0625,81.7,12.25,25.125,91.625,3.58125,0.9375,5.3125,18.375,63.5625,41.0625,22.5,2.9375,17.6875,0.875,0.125,0.9375,0.5625,0.125,4.8125,0.0625,6.75,1.5625,2.0625,79.1714285714286,35.3125,2.0625,2.0625,100,1.1875,25.5,20.6818181818182,0,15.375,2.1875,13.8125,6.35,0,10.6875,4.625,216.625,45.55,19.3125,4.625,12.875,34.4,0.3125,1,20.83125,8.625,66.8125,347.375,-0.125,0.5625,23.5833333333333
2019-12-15,"DAL",22.7058823529412,36.5294117647059,61.6764705882353,257.941176470588,7.1,11.8764705882353,1.11764705882353,1.05882352941176,1.17647058823529,8.52941176470588,82.3235294117647,12.4705882352941,25.7058823529412,95.7647058823529,3.64117647058824,1,5.58823529411765,18,63.1764705882353,41.1764705882353,22,3.05882352941176,19.1764705882353,0.882352941176471,0.117647058823529,0.882352941176471,0.529411764705882,0.117647058823529,4.76470588235294,0.0588235294117647,6.58823529411765,1.47058823529412,2,73.8933333333333,33.2352941176471,2.17647058823529,2.17647058823529,100,1.23529411764706,26.0588235294118,20.4166666666667,0,15.6470588235294,2.17647058823529,12.9411764705882,5.89333333333333,0,10.0588235294118,4.52941176470588,212.823529411765,45.8529411764706,19.7058823529412,4.76470588235294,12.8823529411765,35.5411764705882,0.294117647058824,0.941176470588235,19.6058823529412,8.29411764705882,64.0588235294118,353.705882352941,-0.176470588235294,0.529411764705882,23.9230769230769
2019-12-21,"SF",23.3333333333333,37.3888888888889,61.8833333333333,258.444444444444,6.98888888888889,11.6888888888889,1.16666666666667,1.05555555555556,1.22222222222222,9.27777777777778,82.4444444444444,12.7222222222222,25.0555555555556,91.6666666666667,3.52777777777778,1,5.44444444444444,19.4444444444444,63.5,41.1111111111111,22.3888888888889,2.88888888888889,18.1111111111111,0.833333333333333,0.111111111111111,0.833333333333333,0.5,0.111111111111111,4.61111111111111,0.0555555555555556,6.27777777777778,1.38888888888889,1.88888888888889,73.8933333333333,31.3888888888889,2.11111111111111,2.11111111111111,100,1.22222222222222,25.8888888888889,20.6153846153846,0,16.0555555555556,2.11111111111111,12.2222222222222,5.525,0,9.5,4.55555555555556,216.5,46.4055555555556,19.8888888888889,4.72222222222222,12.8333333333333,35.4166666666667,0.333333333333333,1,21.2944444444444,8.11111111111111,62.1111111111111,350.111111111111,-0.222222222222222,0.5,23.7142857142857
2019-12-29,"ARI",23.5263157894737,37.8421052631579,61.7157894736842,261.842105263158,6.98947368421053,11.7052631578947,1.21052631578947,1.05263157894737,1.15789473684211,8.78947368421053,82.6157894736842,12.9473684210526,25,90.6315789473684,3.5,1.05263157894737,5.47368421052632,20.2105263157895,62.5789473684211,40.9473684210526,21.6315789473684,3.05263157894737,18.8947368421053,0.894736842105263,0.105263157894737,0.842105263157895,0.473684210526316,0.105263157894737,4.78947368421053,0.0526315789473684,6.31578947368421,1.36842105263158,1.89473684210526,72.4,32.4736842105263,2.21052631578947,2.21052631578947,100,1.21052631578947,25.9473684210526,21.0714285714286,0,16.6315789473684,2.10526315789474,11.6315789473684,5.22941176470588,0,9.05263157894737,4.63157894736842,219.105263157895,46.2947368421053,20.1052631578947,4.73684210526316,12.8421052631579,35.5789473684211,0.315789473684211,0.947368421052632,20.1736842105263,8.05263157894737,61.1052631578947,352.473684210526,-0.157894736842105,0.473684210526316,24.2
